Name of contributor and date uploaded,Date of event,Source,Citation (MLA),Violation,Summary,Notes,Classification,
,1/15/2026,Video Analysis of ICE Shooting Sheds Light on Contested Moments - NYT," ""Video Analysis of ICE Shooting Sheds Light on Contested Moments."" The New York Times, 15 January 2026. https://www.nytimes.com/2026/01/15/video/ice-shooting-renee-good-minneapolis-videos.html?smid=url-share","The video footage contradicts the account of President Trump and his administration, which accused Good of weaponizing her vehicle. The shooting represents an act of brutality by federal forces and could be considered an attempt to punish dissent towards ICE Operations. ","Video footage of the shooting of Renée Good shows that Johnathon Ross, the agent who shot Good, was not hit by her car. It also shows him placing himself in a dangerous position near her car. ",,Norm Violation,
,1/24/2026,Man shot dead by federal immigration officers in Minneapolis - NPR,"Thompson, Cheryl. ""Man shot dead by federal immigration officers in Minneapolis."" NPR, 24 January 2026. https://www.npr.org/2026/01/24/nx-s1-5687276/man-shot-dead-minneapolis","The shooting represents another act of brutality by federal immigration officers in what could be considered an attempt to punish public dissent towards ICE Operations. While the law surrounding shootings by federal officers is complicated and this shooting may not be considered unlawful, it is certainly a violation of norms surrounding the purpose, deployment, and use of force by federal immigration officers.","Alex Pretti, 37, was shot and killed by federal immigration officers. A bystander video shows federal agents surrounding a man on the ground, trying to punch and restrain him before an agent shoots him. From the initial video, it is unclear if he brandished or tried to use a firearm. Border Patrol Chief Gregory Bovino said agents attempted to disarm a man who approached federal agents with a hangun, before he violently resisted and agents shot him in self defense. ",,Norm Violation,
,,"To Add: Trump Assassination Attempts, Charlie Kirk Shooting. ",,,,,,"What have we will document: Attack on DEI's policy, immigration and deporations, education, foreign aid, media attacks, FBI, erasure of knowledge, democratic backsliding, judicial changes, private information access, staff purges, dismantle of institutions and individuals rights "
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,"Note: Please do not follow an agenda, be aware of our resposability with this database. We are looking for violations of rights and democratic blacksliding. If things are achieved throigh democratic means before you put, perhaps, you can ask the class to revise the submission"